Disease,Medication
Fungal infection of the hair,"['Griseofulvin (oral)', 'Terbinafine (oral)', 'Ketoconazole shampoo', 'Selenium sulfide shampoo', 'Itraconazole']"
Rectal disorder,"['Hydrocortisone suppositories', 'Laxatives (e.g., Lactulose)', 'Fiber supplements', 'Sitz baths', 'Surgical intervention (e.g., hemorrhoidectomy if needed)']"
Stye,"['Warm compresses', 'Topical antibiotic ointment (e.g., Erythromycin)', 'Oral antibiotics (if spreading)', 'Pain relievers', 'Incision and drainage (if abscess forms)']"
Heart attack,"['Aspirin', 'Nitroglycerin', 'Beta-blockers (e.g., Metoprolol)', 'ACE inhibitors', 'Thrombolytics or PCI (percutaneous coronary intervention)']"
Obstructive sleep apnea (OSA),"['CPAP (Continuous Positive Airway Pressure)', 'Weight loss', 'Mandibular advancement device', 'Modafinil (for residual sleepiness)', 'Surgery (e.g., UPPP, if indicated)']"
Psoriasis,"['Topical corticosteroids', 'Vitamin D analogs (e.g., Calcipotriol)', 'Methotrexate', 'Biologics (e.g., Adalimumab)', 'Phototherapy (UVB)']"
Arthritis of the hip,"['NSAIDs', 'Corticosteroid injections', 'Physical therapy', 'Glucosamine supplements', 'Hip replacement surgery (in advanced cases)']"
Sickle cell crisis,"['Hydroxyurea', 'Folic acid', 'Pain management (e.g., Morphine)', 'IV fluids', 'Blood transfusions (if needed)']"
otitis externa (swimmer's ear),"['Topical antibiotic ear drops (e.g., Ciprofloxacin + Hydrocortisone)', 'Acidifying drops (e.g., Acetic acid)', 'Analgesics', 'Ear wick for deep infections', 'Avoid water exposure']"
Acute bronchiolitis,"['Supportive care', 'Nasal suctioning', 'Saline nebulization', 'Oxygen therapy (if hypoxic)', 'Antipyretics (e.g., Paracetamol)']"
Pyogenic skin infection,"['Oral antibiotics (e.g., Cephalexin, Clindamycin)', 'Topical antibiotics (e.g., Mupirocin)', 'Incision and drainage', 'Antiseptic cleansing', 'Pain management']"
Noninfectious gastroenteritis,"['Antiemetics (e.g., Ondansetron)', 'Antispasmodics (e.g., Dicyclomine)', 'Probiotics', 'Hydration therapy', 'Dietary changes (BRAT diet)']"
Benign prostatic hyperplasia (BPH),"['Alpha blockers (e.g., Tamsulosin)', '5-alpha reductase inhibitors (e.g., Finasteride)', 'Tadalafil (for symptoms)', 'Surgical options (e.g., TURP)', 'Lifestyle changes']"
Spinal stenosis,"['NSAIDs', 'Physical therapy', 'Epidural steroid injections', 'Gabapentin or Pregabalin', 'Surgical decompression (e.g., laminectomy)']"
Acute bronchitis,"['Cough suppressants (e.g., Dextromethorphan)', 'Expectorants (e.g., Guaifenesin)', 'Bronchodilators (if wheezing)', 'NSAIDs', 'Antibiotics (only if bacterial suspected)']"
Croup,"['Dexamethasone (oral or IM)', 'Nebulized epinephrine', 'Humidified air', 'Antipyretics', 'Hydration']"
Idiopathic excessive menstruation,"['Tranexamic acid', 'NSAIDs (e.g., Mefenamic acid)', 'Oral contraceptives', 'Levonorgestrel-releasing IUD', 'Iron supplements']"
Ear drum damage,"['Antibiotic ear drops (if infection)', 'Oral antibiotics (if needed)', 'Avoid water entry', 'Pain relief (e.g., Acetaminophen)', 'Tympanoplasty (if persistent perforation)']"
Temporary or benign blood in urine,"['Hydration therapy', 'Avoid strenuous exercise', 'Adjust anticoagulants (if relevant)', 'Monitor kidney function', 'Reassurance and follow-up']"
Common cold,"['Paracetamol', 'Ibuprofen', 'Decongestants (e.g., Pseudoephedrine)', 'Antihistamines', 'Cough syrups (e.g., Dextromethorphan)']"
Depression,"['SSRIs (e.g., Sertraline, Escitalopram)', 'SNRIs (e.g., Venlafaxine)', 'Atypical antidepressants (e.g., Bupropion)', 'Cognitive Behavioral Therapy (CBT)', 'Psychotherapy']"
Idiopathic irregular menstrual cycle,"['Combined oral contraceptives', 'Progestins', 'Metformin (if PCOS-related)', 'Lifestyle modification', 'Clomiphene (for ovulation induction)']"
Schizophrenia,"['Antipsychotics (e.g., Risperidone, Olanzapine)', 'Clozapine (treatment-resistant cases)', 'Cognitive behavioral therapy', 'Long-acting injectables', 'Psychosocial support']"
Sepsis,"['IV broad-spectrum antibiotics (e.g., Piperacillin-tazobactam)', 'IV fluids', 'Vasopressors (e.g., Norepinephrine)', 'Oxygen therapy', 'Source control (e.g., drainage of abscess)']"
Cholecystitis,"['IV antibiotics (e.g., Ceftriaxone + Metronidazole)', 'Pain relievers (e.g., Morphine)', 'IV fluids', 'NPO (nothing by mouth)', 'Cholecystectomy (surgical removal of gallbladder)']"
Cystitis,"['Nitrofurantoin', 'Trimethoprim-sulfamethoxazole', 'Fosfomycin', 'Phenazopyridine (for pain relief)', 'Hydration']"
Hemorrhoids,"['Topical hydrocortisone cream', 'Witch hazel pads', 'Stool softeners (e.g., Docusate)', 'Sitz baths', 'Surgical procedures (e.g., rubber band ligation)']"
Contact dermatitis,"['Topical corticosteroids (e.g., Hydrocortisone)', 'Oral antihistamines', 'Moisturizers', 'Avoidance of allergen/irritant', 'Oral corticosteroids (if severe)']"
Sinus bradycardia,"['Atropine (acute cases)', 'Temporary or permanent pacemaker (if symptomatic)', 'Adjust medications (if drug-induced)', 'Isoproterenol infusion (if needed)', 'Monitor ECG']"
Pelvic inflammatory disease,"['Ceftriaxone + Doxycycline + Metronidazole', 'Pain relievers', 'Hospitalization (for severe cases)', 'Partner treatment', 'Abstain from intercourse during treatment']"
Liver disease,"['Lactulose (for hepatic encephalopathy)', 'Diuretics (e.g., Spironolactone)', 'Vitamin K (if coagulopathy)', 'Ursodeoxycholic acid', 'Antivirals (e.g., Tenofovir for HBV)']"
Chronic constipation,"['Laxatives (e.g., Polyethylene glycol)', 'Stool softeners (e.g., Docusate)', 'Fiber supplements (e.g., Psyllium)', 'Osmotic agents (e.g., Lactulose)', 'Prokinetics']"
Skin polyp,"['Cryotherapy', 'Electrosurgical removal', 'Snare excision', 'Topical anesthesia', 'Histopathology (to rule out malignancy)']"
Brachial neuritis,"['NSAIDs', 'Oral corticosteroids', 'Gabapentin or Pregabalin', 'Physical therapy', 'Pain management']"
Esophagitis,"['Proton Pump Inhibitors (e.g., Omeprazole)', 'H2 Blockers (e.g., Ranitidine)', 'Sucralfate', 'Antifungal or antiviral agents (if infectious)', 'Dietary changes']"
Diverticulitis,"['Antibiotics (e.g., Ciprofloxacin + Metronidazole)', 'Clear liquid diet (during flare)', 'Pain relievers', 'High-fiber diet (after recovery)', 'Surgery (if complications)']"
Sprain or strain,"['RICE (Rest, Ice, Compression, Elevation)', 'NSAIDs (e.g., Ibuprofen)', 'Muscle relaxants', 'Physical therapy', 'Immobilization (if needed)']"
Idiopathic painful menstruation,"['NSAIDs (e.g., Ibuprofen)', 'Oral contraceptives', 'Heat therapy', 'Vitamin B1 and magnesium supplements', 'Physical activity']"
Eustachian tube dysfunction (ear disorder),"['Nasal decongestants', 'Nasal corticosteroids', 'Auto-inflation (e.g., Valsalva maneuver)', 'Antihistamines', 'Surgical placement of ear tubes (in severe cases)']"
Appendicitis,"['Surgical removal (Appendectomy)', 'Pre-operative antibiotics (e.g., Ceftriaxone + Metronidazole)', 'Pain management', 'IV fluids', 'NPO status before surgery']"
Hyperemesis gravidarum,"['IV fluids and electrolytes', 'Vitamin B6 (Pyridoxine)', 'Antiemetics (e.g., Ondansetron, Promethazine)', 'Thiamine supplementation', 'Nutritional support (e.g., TPN if severe)']"
Urinary tract infection,"['Nitrofurantoin', 'Ciprofloxacin', 'Trimethoprim-sulfamethoxazole', 'Cranberry supplements', 'Hydration therapy']"
Peripheral nerve disorder,"['Gabapentin', 'Pregabalin', 'Amitriptyline', 'Physical therapy', 'Alpha-lipoic acid (as supplement)']"
Sebaceous cyst,"['Warm compress', 'Incision and drainage (if infected)', 'Antibiotics (if signs of infection)', 'Surgical excision', 'Steroid injection (if inflamed)']"
Spontaneous abortion,"['Misoprostol (to complete expulsion)', 'Mifepristone + Misoprostol (in selected cases)', 'Dilation and curettage (if needed)', 'Rh immunoglobulin (if Rh-negative)', 'Emotional support and counseling']"
Gallstone,"['Ursodeoxycholic acid (in some cases)', 'Pain relievers (e.g., NSAIDs)', 'Cholecystectomy (surgical removal)', 'Antibiotics (if cholecystitis)', 'Dietary modifications']"
Multiple sclerosis,"['Interferon beta', 'Glatiramer acetate', 'Natalizumab', 'Corticosteroids (for flare-ups)', 'Disease-modifying therapies (e.g., Fingolimod)']"
Angina,"['Nitroglycerin (sublingual)', 'Beta-blockers', 'Calcium channel blockers', 'Aspirin', 'Statins']"
Skin pigmentation disorder,"['Hydroquinone cream', 'Topical retinoids', 'Azelaic acid', 'Chemical peels', 'Laser therapy (for resistant cases)']"
Personality disorder,"['Psychotherapy (e.g., DBT for BPD)', 'SSRIs (for mood symptoms)', 'Mood stabilizers (e.g., Lithium)', 'Antipsychotics (in some cases)', 'Group therapy']"
Strep throat,"['Penicillin', 'Amoxicillin', 'Azithromycin (if allergic to penicillin)', 'Analgesics (e.g., Acetaminophen)', 'Salt water gargles']"
Developmental disability,"['Speech therapy', 'Occupational therapy', 'Behavioral therapy', 'Medications (e.g., Risperidone for irritability in autism)', 'Special education programs']"
Chronic back pain,"['NSAIDs', 'Muscle relaxants', 'Physical therapy', 'Epidural steroid injections', 'Chronic pain management (e.g., TENS, acupuncture)']"
Heart failure,"['ACE inhibitors', 'Beta-blockers', 'Loop diuretics (e.g., Furosemide)', 'Aldosterone antagonists (e.g., Spironolactone)', 'Digoxin (in some cases)']"
Conjunctivitis,"['Antibiotic eye drops (e.g., Erythromycin, Moxifloxacin)', 'Antiviral drops (e.g., Ganciclovir for herpes)', 'Lubricant drops', 'Antihistamines (for allergic type)', 'Cool compresses']"
Herniated disk,"['NSAIDs', 'Physical therapy', 'Muscle relaxants', 'Steroid injections', 'Surgical discectomy (if severe)']"
Diaper rash,"['Zinc oxide cream', 'Petroleum jelly', 'Topical antifungals (e.g., Clotrimazole)', 'Hydrocortisone cream (short-term)', 'Frequent diaper changes']"
Eczema,"['Topical corticosteroids', 'Emollients/Moisturizers', 'Antihistamines (for itching)', 'Calcineurin inhibitors (e.g., Tacrolimus)', 'Phototherapy (in severe cases)']"
